,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1852,1853,2019-02-06,2019-02-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FI
1853,1854,2019-05-17,2019-05-17,1,1,2,86,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CS
1854,1855,2019-05-16,2019-05-16,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,ME
1856,1857,2019-05-20,2019-04-06,16,2,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BA
1859,1860,2019-06-14,2019-06-16,3,3,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VE
1860,1861,2019-05-18,2019-09-06,23,3,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,AO
1861,1862,2018-08-24,2019-07-06,288,49,1,173,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,LU
1862,1863,2019-05-30,2019-05-30,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,SA
1863,1864,2017-01-08,2019-11-06,680,215,1,173,133,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,247,ITA,MI
1864,1865,2018-06-20,2019-06-15,361,202,1,173,133,0,1,1,0,0,6,0,0,2,2,7,0,0,0,0,0,0,0,ITA,RM
1867,1868,2019-06-16,2019-06-16,1,1,5,254,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PR
1868,1869,2019-10-06,2019-10-06,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1870,1871,2017-12-20,2019-06-15,543,258,1,173,133,6,4,0,8,8,1,0,0,5,2,2,1,0,0,0,0,0,0,ITA,AR
1871,1872,2019-03-06,2019-03-06,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BO
1872,1873,2019-04-14,2019-12-06,60,8,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BA
1873,1874,2019-05-14,2019-06-14,32,4,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ITA,ME
1874,1875,2019-03-06,2019-03-06,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1875,1876,2017-08-06,2019-06-16,739,184,1,173,133,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,ITA,RM
1876,1877,2018-12-29,2019-06-15,169,33,1,173,133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
1879,1880,2019-08-05,2019-05-22,15,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VT
1880,1881,2019-12-06,2019-12-06,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
