,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1522,5211,2019-03-23 00:00:00.000000,2019-06-16 00:00:00.000000,86,29,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1523,5216,2018-06-22 00:00:00.000000,2019-10-06 00:00:00.000000,354,131,*,228.0,*,1,6,0,27,0,0,7,2,7,0,2,0,0,0,1,4,0,4,ITA,TS
1524,5217,2019-05-19 00:00:00.000000,2019-05-19 00:00:00.000000,1,1,2.0,156.0,143.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1525,5221,2019-11-06 00:00:00.000000,2019-11-06 00:00:00.000000,1,1,2.0,255.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1526,5223,2019-05-17 00:00:00.000000,2019-01-06 00:00:00.000000,16,2,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1527,5225,2019-06-13 00:00:00.000000,2019-06-13 00:00:00.000000,1,1,5.0,128.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1528,5230,2018-06-16 00:00:00.000000,2019-06-14 00:00:00.000000,364,88,1.0,*,131.0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ITA,RM
1529,5232,2019-06-16 00:00:00.000000,2019-06-16 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1530,5233,2019-05-19 00:00:00.000000,2019-05-19 00:00:00.000000,1,1,2.0,86.0,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1531,5235,2019-05-23 00:00:00.000000,2019-06-16 00:00:00.000000,25,20,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1532,5237,2017-10-14 00:00:00.000000,2019-06-16 00:00:00.000000,611,543,1.0,*,131.0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CB
1533,5241,2018-07-09 00:00:00.000000,2019-06-16 00:00:00.000000,283,100,1.0,*,133.0,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1534,5242,2019-02-06 00:00:00.000000,2019-02-06 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1535,5248,2019-05-19 00:00:00.000000,2019-05-19 00:00:00.000000,1,1,1.0,228.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1536,5249,2017-09-15 00:00:00.000000,2019-02-06 00:00:00.000000,626,148,1.0,173.0,*,0,0,0,2,0,0,0,0,0,1,0,0,1,3,0,0,0,0,ITA,NA
1537,5252,2019-06-06 00:00:00.000000,2019-09-06 00:00:00.000000,4,3,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1538,5253,2019-04-18 00:00:00.000000,2019-05-31 00:00:00.000000,44,4,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1539,5254,2019-02-22 00:00:00.000000,2019-06-15 00:00:00.000000,114,24,2.0,156.0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MS
1540,5256,2019-05-31 00:00:00.000000,2019-02-06 00:00:00.000000,3,3,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1541,5257,2019-11-06 00:00:00.000000,2019-12-06 00:00:00.000000,2,2,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1542,5258,2019-04-06 00:00:00.000000,2019-12-06 00:00:00.000000,9,2,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1543,5260,2017-08-18 00:00:00.000000,2019-10-06 00:00:00.000000,662,215,1.0,*,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BO
1544,5261,2019-02-06 00:00:00.000000,2019-02-06 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1545,5262,2019-08-06 00:00:00.000000,2019-08-06 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
