?uuid,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta
2244,15/05/19,26/05/19,12,3,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
2245,04/05/19,16/05/19,13,4,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BO
2246,03/06/19,12/06/19,10,7,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-UD
2247,06/05/19,16/05/19,11,5,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VR
2248,25/03/19,31/05/19,68,12,2,86,124,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ITA-NA
2249,16/05/19,12/06/19,28,3,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2250,28/05/19,28/05/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-GE
2251,16/06/19,16/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-ME
2252,30/05/19,30/05/19,1,1,1,128,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2253,29/05/19,29/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MB
2254,06/06/19,06/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FI
2255,12/06/19,12/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2256,18/05/19,18/05/19,1,1,2,11,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FC
2257,28/05/19,06/06/19,10,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
2258,12/06/19,12/06/19,1,1,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VC
2259,09/12/18,07/06/19,181,28,1,240,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-LT
2260,15/06/19,15/06/19,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2261,02/03/19,01/06/19,92,31,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MB
2262,07/06/19,07/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NO
